step,hour,day,timestamp,wind_speed_m_per_s,wind_dir_deg,fire_front_cells,fire_affected_cells,failed_buses,failed_lines,grid_served_mw,customers_connected,customers_disconnected,saidi_minutes,min_bus_vm_pu,mean_bus_vm_pu,pf_converged,fire_burned_cells
104,104.0,4.333333333333333,2025-01-11T08:00:00,4.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,588.7885478419205,0.9836486359956177,1.0116271439491362,1.0,166372
105,105.0,4.375,2025-01-11T09:00:00,4.4823619097949585,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,595.083552004388,0.9836486359956176,1.0116271439491362,1.0,166372
106,106.0,4.416666666666667,2025-01-11T10:00:00,5.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,601.3785561668557,0.9836486359956175,1.011627143949136,1.0,166372
107,107.0,4.458333333333333,2025-01-11T11:00:00,5.5176380902050415,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,607.6735603293233,0.9836486359956174,1.0116271439491362,1.0,166372
108,108.0,4.5,2025-01-11T12:00:00,6.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,613.9685644917909,0.9836486359956172,1.0116271439491362,1.0,166372
109,109.0,4.541666666666667,2025-01-11T13:00:00,6.414213562373095,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,620.2635686542586,0.9836486359956171,1.011627143949136,1.0,166372
110,110.0,4.583333333333333,2025-01-11T14:00:00,6.732050807568877,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,626.5585728167263,0.983648635995617,1.011627143949136,1.0,166372
111,111.0,4.625,2025-01-11T15:00:00,6.931851652578136,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,632.8535769791939,0.9836486359956169,1.011627143949136,1.0,166372
112,112.0,4.666666666666667,2025-01-11T16:00:00,7.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,639.1485811416617,0.9836486359956168,1.011627143949136,1.0,166372
113,113.0,4.708333333333333,2025-01-11T17:00:00,6.931851652578136,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,645.4435853041293,0.9836486359956167,1.011627143949136,1.0,166372
114,114.0,4.75,2025-01-11T18:00:00,6.732050807568877,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,651.738589466597,0.9836486359956166,1.011627143949136,1.0,166372
115,115.0,4.791666666666667,2025-01-11T19:00:00,6.414213562373095,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,658.0335936290647,0.9836486359956165,1.011627143949136,1.0,166372
116,116.0,4.833333333333333,2025-01-11T20:00:00,6.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,664.3285977915324,0.9836486359956164,1.011627143949136,1.0,166372
117,117.0,4.875,2025-01-11T21:00:00,5.5176380902050415,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,670.623601954,0.9836486359956162,1.011627143949136,1.0,166372
118,118.0,4.916666666666667,2025-01-11T22:00:00,5.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,676.9186061164678,0.9836486359956161,1.011627143949136,1.0,166372
119,119.0,4.958333333333333,2025-01-11T23:00:00,4.4823619097949585,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,683.2136102789354,0.983648635995616,1.011627143949136,1.0,166372
120,120.0,5.0,2025-01-12T00:00:00,4.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,689.5086144414031,0.9836486359956159,1.011627143949136,1.0,166372
